uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2015-09-26 09:09:00 R,9780,-6.713618897637794,None,2,R,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-09-26 09:09:00 R,9780,-6.713618897637794,None,2,R,0.0,1.75,-1.75,60.27597,FALSE,1195.96765,0,1075.41565
GoldenBC 2015-10-04 08:48:00 L,8932,6.812050393700785,Thin Flange,4,L,1.3125,1.25,0.0625,12.40163,TRUE,1183.8877,1051.13562,1007.07166
GoldenBC 2015-10-04 08:48:00 L,8932,6.812050393700785,Thin Flange,4,L,1.3125,1.25,0.0625,12.40163,TRUE,1183.8877,1051.13562,1007.07166
GoldenBC 2015-10-04 08:48:00 R,8932,6.812050393700785,Thin Flange,4,R,1.3125,1.25,0.0625,12.40163,TRUE,1183.8877,1051.13562,1007.07166
GoldenBC 2015-10-04 08:48:00 R,8932,6.812050393700785,Thin Flange,4,R,1.3125,1.25,0.0625,12.40163,TRUE,1183.8877,1051.13562,1007.07166
GoldenBC 2015-10-05 06:40:00 L,8932,4.0241889763779515,Thin Flange,1,L,1.0625,1.063,-0.0004999999999999449,6.3757,TRUE,1155.71558,1037.77563,1006.42352
GoldenBC 2015-10-05 06:40:00 R,8932,3.0161889763779524,Thin Flange,1,R,1.0625,1.0,0.0625,6.3757,TRUE,1155.71558,1037.77563,1006.42352
GoldenBC 2015-10-11 06:53:00 L,8787,-5.979011023622048,High Flange,1,L,1.0625,0.563,0.49950000000000006,3.19562,TRUE,1045.05957,1026.22363,1012.78369
GoldenBC 2015-10-11 06:53:00 L,8787,-5.979011023622048,High Flange,1,L,1.0625,0.563,0.49950000000000006,3.19562,TRUE,1045.05957,1026.22363,1012.78369
GoldenBC 2015-10-11 06:53:00 R,8787,-5.979011023622048,High Flange,1,R,1.0625,0.563,0.49950000000000006,3.19562,TRUE,1045.05957,1026.22363,1012.78369
GoldenBC 2015-10-11 06:53:00 R,8787,-5.979011023622048,High Flange,1,R,1.0625,0.563,0.49950000000000006,3.19562,TRUE,1045.05957,1026.22363,1012.78369
